,target,accuracy,std
0,Beef,0.63,0.1394
1,Car,0.94,0.0228
2,Coffee,1.0,0.0
3,FaceFour,0.95,0.0208
4,Meat,1.0,0.0
5,OliveOil,0.95,0.0456
6,PickupGestureWiimoteZ,0.1,0.0
7,Rock,0.76,0.1195
8,ShakeGestureWiimoteZ,0.1,0.0
9,Wine,0.97,0.0391
