,target,accuracy,var
0,Coffee,1.0,0.0
1,Beef,0.68,0.0188
2,OliveOil,0.85,0.0431
3,Rock,0.8,0.0036
4,PickupGestureWiimoteZ,0.66,0.0042
5,ShakeGestureWiimoteZ,0.89,0.0042
6,Wine,0.97,0.0015
7,FaceFour,0.98,0.0006
8,Meat,0.99,0.0003
9,Car,0.89,0.0005
