,target,accuracy,std
0,Beef,0.7667,0.1087
1,Car,0.9167,0.0295
2,Coffee,1.0,0.0
3,FaceFour,0.964,0.0201
4,Meat,1.0,0.0
5,OliveOil,0.8333,0.2826
6,PickupGestureWiimoteZ,0.77,0.0837
7,Rock,0.7857,0.1336
8,ShakeGestureWiimoteZ,0.92,0.0274
9,Wine,0.9735,0.0391
