,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target,accuracy,var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Coffee,0.6,0.0264
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Beef,0.62,0.0104
2,2.0,2.0,2.0,2.0,2.0,2.0,,,OliveOil,0.69,0.0215
3,3.0,3.0,3.0,3.0,3.0,,,,Rock,0.61,0.0183
4,4.0,4.0,4.0,4.0,,,,,PickupGestureWiimoteZ,0.73,0.0051
5,5.0,5.0,5.0,,,,,,ShakeGestureWiimoteZ,0.85,0.009
6,6.0,6.0,,,,,,,FaceFour,0.9,0.0037
7,7.0,,,,,,,,Meat,0.92,0.0009
8,,,,,,,,,Car,0.69,0.0056
