,target,accuracy,var
0,Beef,0.95,0.0056
1,Car,0.98,0.0005
2,Coffee,1.0,0.0
3,FaceFour,0.98,0.0006
4,Meat,1.0,0.0
5,OliveOil,0.97,0.0021
6,PickupGestureWiimoteZ,0.82,0.0108
7,Rock,0.84,0.0087
8,ShakeGestureWiimoteZ,0.95,0.0012
9,Wine,0.98,0.0015
