,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target,accuracy,var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Coffee,0.55,0.0348
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Beef,0.58,0.0356
2,2.0,2.0,2.0,2.0,2.0,2.0,,,OliveOil,0.69,0.0426
3,3.0,3.0,3.0,3.0,3.0,,,,Rock,0.64,0.0303
4,4.0,4.0,4.0,4.0,,,,,PickupGestureWiimoteZ,0.74,0.0008
5,5.0,5.0,5.0,,,,,,ShakeGestureWiimoteZ,0.9,0.0051
6,6.0,6.0,,,,,,,FaceFour,0.9,0.0037
7,7.0,,,,,,,,Meat,0.91,0.0047
8,,,,,,,,,Car,0.71,0.0041
