,target,accuracy,var
0,Coffee,1.0,0.0
1,Beef,0.68,0.0049
2,OliveOil,0.58,0.0799
3,Rock,0.71,0.0179
4,PickupGestureWiimoteZ,0.73,0.0008
5,ShakeGestureWiimoteZ,0.9,0.0025
6,Wine,0.9,0.0042
7,FaceFour,0.97,0.0006
8,Meat,0.92,0.0208
9,Car,0.79,0.0052
