,target,accuracy,std
0,Beef,0.8,0.095
1,Car,0.95,0.0349
2,Coffee,1.0,0.0
3,FaceFour,0.9822,0.0244
4,Meat,1.0,0.0
5,OliveOil,0.9667,0.0456
6,PickupGestureWiimoteZ,0.78,0.1151
7,Rock,0.8,0.0782
8,ShakeGestureWiimoteZ,0.92,0.0447
9,Wine,0.9644,0.0487
