,target,accuracy,var
0,Coffee,1.0,0.0
1,Beef,0.72,0.009
2,OliveOil,0.95,0.0021
3,Rock,0.8,0.0036
4,PickupGestureWiimoteZ,0.72,0.007
5,ShakeGestureWiimoteZ,0.92,0.0032
6,Wine,0.95,0.0089
7,FaceFour,0.96,0.002
8,Meat,0.99,0.0003
9,Car,0.85,0.0075
