,target,accuracy,std
0,Beef,0.7,0.1118
1,Car,0.93,0.0349
2,Coffee,1.0,0.0
3,FaceFour,0.96,0.0201
4,Meat,1.0,0.0
5,OliveOil,0.97,0.0456
6,PickupGestureWiimoteZ,0.1,0.0
7,ShakeGestureWiimoteZ,0.1,0.0
8,Wine,0.93,0.0941
