,target,accuracy,var
0,Beef,0.9,0.0049
1,Car,0.96,0.0017
2,Coffee,1.0,0.0
3,FaceFour,0.98,0.0006
4,Meat,0.99,0.0003
5,OliveOil,0.97,0.0021
6,PickupGestureWiimoteZ,0.8,0.0125
7,Rock,0.81,0.0015
8,ShakeGestureWiimoteZ,0.92,0.0007
9,Wine,0.87,0.0385
