,target,accuracy,var
0,Coffee,1.0,0.0
1,Beef,0.58,0.0139
2,OliveOil,0.85,0.0604
3,Rock,0.84,0.0087
4,PickupGestureWiimoteZ,0.73,0.0082
5,ShakeGestureWiimoteZ,0.85,0.0025
6,Wine,0.97,0.0015
7,FaceFour,0.96,0.002
8,Meat,1.0,0.0
9,Car,0.83,0.0130
