,target,accuracy,var
0,Beef,0.93,0.0049
1,Car,0.97,0.0012
2,Coffee,1.0,0.0
3,FaceFour,0.99,0.0004
4,Meat,1.0,0.0
5,OliveOil,0.95,0.0021
6,PickupGestureWiimoteZ,0.84,0.0067
7,Rock,0.87,0.0138
8,ShakeGestureWiimoteZ,0.93,0.0007
9,Wine,0.96,0.0013
