,target,accuracy,std
0,Beef,0.72,0.1264
1,Car,0.9,0.1046
2,Coffee,1.0,0.0
3,FaceFour,0.95,0.0587
4,Meat,0.99,0.0186
5,OliveOil,0.83,0.2357
6,PickupGestureWiimoteZ,0.1,0.0
7,Rock,0.79,0.0875
8,ShakeGestureWiimoteZ,0.1,0.0
9,Wine,0.86,0.2114
