,target,accuracy,var
0,Coffee,1.0,0.0
1,Beef,0.67,0.0069
2,OliveOil,0.95,0.0056
3,Rock,0.76,0.0092
4,PickupGestureWiimoteZ,0.81,0.0155
5,ShakeGestureWiimoteZ,0.9,0.0062
6,Wine,0.96,0.0028
7,FaceFour,0.97,0.0006
8,Meat,1.0,0.0
9,Car,0.90,0.0075
