,target,accuracy,var
0,Coffee,1.0,0.0
1,Beef,0.68,0.0118
2,OliveOil,0.83,0.0278
3,Rock,0.74,0.0066
4,PickupGestureWiimoteZ,0.79,0.008
5,ShakeGestureWiimoteZ,0.92,0.0032
6,Wine,0.83,0.0097
7,FaceFour,0.96,0.0013
8,Meat,0.87,0.0646
9,Car,0.81,0.0023
