,target,accuracy,var
0,Coffee,1.0,0.0
1,Beef,0.75,0.0243
2,OliveOil,0.95,0.0021
3,Rock,0.84,0.0061
4,PickupGestureWiimoteZ,0.76,0.018
5,ShakeGestureWiimoteZ,0.92,0.0057
6,Wine,0.97,0.0015
7,FaceFour,0.97,0.0016
8,Meat,1.0,0.0
9,Car,0.88,0.0047
