,target,accuracy,var
0,Coffee,1.0,0.0
1,Beef,0.67,0.0069
2,OliveOil,0.78,0.1236
3,Rock,0.81,0.0347
4,PickupGestureWiimoteZ,0.67,0.007
5,ShakeGestureWiimoteZ,0.81,0.0018
6,Wine,0.97,0.006
7,FaceFour,0.93,0.0038
8,Meat,1.0,0.0
9,Car,0.90,0.0005
