,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target,accuracy,var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Coffee,0.64,0.0317
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Beef,0.58,0.0209
2,2.0,2.0,2.0,2.0,2.0,2.0,,,OliveOil,0.67,0.0067
3,3.0,3.0,3.0,3.0,3.0,,,,Rock,0.61,0.0307
4,4.0,4.0,4.0,4.0,,,,,PickupGestureWiimoteZ,0.74,0.0105
5,5.0,5.0,5.0,,,,,,ShakeGestureWiimoteZ,0.93,0.0027
6,6.0,6.0,,,,,,,FaceFour,0.89,0.0018
7,7.0,,,,,,,,Meat,0.94,0.002
8,,,,,,,,,Car,0.70,0.0050
