,target,accuracy,var
0,Beef,0.77,0.0118
1,Car,0.96,0.0009
2,Coffee,1.0,0.0
3,FaceFour,0.98,0.0006
4,Meat,1.0,0.0
5,OliveOil,0.97,0.0021
6,PickupGestureWiimoteZ,0.85,0.0112
7,Rock,0.8,0.0061
8,ShakeGestureWiimoteZ,0.94,0.0017
9,Wine,0.97,0.0015
