,target,accuracy,var
0,Beef,0.88,0.009
1,Car,0.97,0.003
2,Coffee,1.0,0.0
3,FaceFour,0.98,0.0006
4,Meat,1.0,0.0
5,OliveOil,0.97,0.0021
6,PickupGestureWiimoteZ,0.81,0.0317
7,Rock,0.8,0.0087
8,ShakeGestureWiimoteZ,0.94,0.0005
9,Wine,0.98,0.0015
