,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target,accuracy,var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Coffee,0.6,0.0326
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Beef,0.67,0.0067
2,2.0,2.0,2.0,2.0,2.0,2.0,,,OliveOil,0.66,0.0089
3,3.0,3.0,3.0,3.0,3.0,,,,Rock,0.77,0.0153
4,4.0,4.0,4.0,4.0,,,,,PickupGestureWiimoteZ,0.77,0.007
5,5.0,5.0,5.0,,,,,,ShakeGestureWiimoteZ,0.88,0.0059
6,6.0,6.0,,,,,,,FaceFour,0.86,0.0104
7,7.0,,,,,,,,Meat,0.94,0.0006
8,,,,,,,,,Car,0.70,0.0050
