,target,accuracy,var
0,Beef,0.62,0.0125
1,Car,0.87,0.0082
2,Coffee,1.0,0.0
3,FaceFour,0.93,0.0017
4,Meat,0.98,0.0014
5,OliveOil,0.95,0.0021
6,PickupGestureWiimoteZ,0.63,0.0208
7,Rock,0.74,0.0168
8,ShakeGestureWiimoteZ,0.86,0.0018
9,Wine,0.97,0.0060
