,target,accuracy,std
0,Beef,0.75,0.1318
1,Car,0.925,0.0349
2,Coffee,1.0,0.0
3,FaceFour,0.9549,0.0322
4,Meat,1.0,0.0
5,OliveOil,0.9667,0.0456
6,PickupGestureWiimoteZ,0.73,0.1351
7,Rock,0.7571,0.1298
8,ShakeGestureWiimoteZ,0.89,0.0224
9,Wine,0.9285,0.0500
