,target,accuracy,var
0,Coffee,1.0,0.0
1,Beef,0.8,0.016
2,OliveOil,0.95,0.0021
3,Rock,0.67,0.0066
4,PickupGestureWiimoteZ,0.71,0.0092
5,ShakeGestureWiimoteZ,0.85,0.0125
6,Wine,0.95,0.0033
7,FaceFour,0.94,0.0015
8,Meat,1.0,0.0
9,Car,0.88,0.0078
